Title,Corresponding author,country,institute,Year,Sample Name,Pt at% in metal element,Pd at% in metal element,Au at% in metal element,Ir at% in metal element,Ru at% in metal element,Ni at% in metal element,Co at% in metal element,Fe at% in metal element,Mn at% in metal element,Zn at% in metal element,Cu at% in metal element,Ti at% in metal element,Cr at% in metal element,Mo at% in metal element,Ag at% in metal element,V at% in metal element,Sc at% in metal element,W at% in metal element,Os at% in metal element,Ga at% in metal element,total metal mass ratio wt%,N at%,Sn at%,S at%,O at%,Ti at%,Ta at%,Nb at%,Si at%,W at%,C wt%,Particle diameter £®nm£©,Particle variance,carbon substrate type,carbon particle diameter(nm),support BET surface area(m2/g),Reduction Temperature,Reduction Time/min,Reducing agent( chemical name in english),pH,Annealing Temperature,Annealing Time/h,Atomosphere h2,Atomosphere inert,ECSA m2/g,Mass Activity mA mg-1,Specific Activity mA cm-2,Half wave potential £®V vsRHE£©,Onset Potential £®V vsRHE£©,Reduce in MA/ mA mg-1,I/C Ratio(ionomer/catalyst),Area cm2,Cathodic Loading Amount mgPt cm-2,Anodic Platinum Loading Amount mgPt cm-2,Anodic catalyst type x wt% Pt/C,Membrane,membrane thickness,Hot Press Temperature,Hot Press Time min,Hot Press Pressure Mpa,Humidity %,GDE for 1,celltemp©,Flowing rate of H2 ml min-1,flowing rate of cathode gas(O2/air),stoichiometry/anode,stoichiometry/cathode,stoich to flow anode,stoich to flow cathode,Back Pressure Mpa,"Current decay at 0.6V(ma,cm2)",Cathode gas oxygen ratio,Maximum Power Density mW cm-2,Open Circuit Voltage V,Voltage 100mA cm0,Voltage 200mA cm0,Voltage 300mA cm0,Voltage 400mA cm0,Voltage 500mA cm0,Voltage 600mA cm0,Voltage 700mA cm0,Voltage 800mA cm0,Voltage 900mA cm0,Voltage 1000mA cm0,Voltage 1100mA cm0,Voltage 1200mA cm0,Voltage 1300mA cm0,Voltage 1400mA cm0,Voltage 1500mA cm0,Voltage 1600mA cm0,Voltage 1700mA cm0,Voltage 1800mA cm0,Voltage 1900mA cm0,Voltage 2000mA cm0,Voltage 2100mA cm0,Voltage 2200mA cm0,Voltage 2300mA cm0,Voltage 2400mA cm0,Voltage 2500mA cm0,Voltage 2600mA cm0,Voltage 2700mA cm0,Voltage 2800mA cm0,Voltage 2900mA cm0,Voltage 3000mA cm0
"Microwave assisted, facile synthesis of Pt/CNT catalyst for proton exchange membrane fuel cell application",ShaneethMuliankeezhu,India,Vikram Sarabhai Space Centre,2017,Pt/CNT-MWH,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,80,2.7,,CNTs,,41.4,70,240,NaBH4,12,25,0,0,0,70,225,0.321428571,,,,,1,0.5,0.5,20,nafion 115,75,125,10,,100,1,50,,,,,,,0,,1,370,0.949,0.795,0.72,0.67,0.62,0.595,0.555,0.51,0.45,0.355,0.235,0.12685,0.03813,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"Microwave assisted, facile synthesis of Pt/CNT catalyst for proton exchange membrane fuel cell application",ShaneethMuliankeezhu,India,Vikram Sarabhai Space Centre,2017,Pt/CNT-CH,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,80,3.8,,CNTs,,57.9,80,5,NaBH4,12,25,0,0,0,48,225,0.46875,,,,,1,0.5,0.5,20,nafion 115,75,125,10,,100,1,50,,,,,,,0,,1,273,0.993,0.7,0.615,0.56,0.515,0.49,0.445,0.39,0.315,0.23,0.15218,0.08647,0.03025,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Durability investigation and performance study of hydrothermal synthesized platinum-multi walled carbon nanotube nanocomposite catalyst for proton exchange membrane fuel cell,Soosan Rowshanzamir,Iran,Iran University of Science and Technology,2017,Pt/MWCNT,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.374,0,0,0,0,0,0,0,0,0,80.452,7,,CNTs,,36.46,140,300,glycerol,9,25,0,0,0,36.46,225,0.617114646,,,,,5,0.2,0.2,,nafion 117,175,120,2.5,6,100,0,80,150,300,1,2,150,300,0,,1,160,0.95,0.765,0.665,0.515,0.355,0.145,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Rapid microwave-assisted solvothermal synthesis of shape-controlled Pt-Ni alloy nanoparticles for PEMFC,Haixu Yan,china,Tongji University,2018,Pt-Ni/C,38.3,0,0,0,0,61.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.6,0,0,0,0,0,0,0,0,0,73.4,8.5,,XC-72R,30,230,198,0.67,ethylene glycol,10,25,0,0,0,24.3,1210,4.979423868,0.935,1.06,,,50,0.4,0.2,20,nafion 211,25,,,,100,0,80,270,375,1.8,2.5,270,375,0,,0.21,364,0.96,0.8,0.74,0.7,0.65,0.61,0.555,0.51,0.455,0.395,0.32,0.25098,0.19215,0.1414,0.09719,0.05831,0.02387,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Nitrogen doped mesoporous carbon supported Pt electrocatalyst for oxygen reduction reaction in proton exchange membrane fuel cells,G. Ranga Rao,India,Indian Institute of Technology Madras,2018,Pt/NMC-1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,11.6,0,0,0,0,0,0,0,0,70,1.9,,home-made nitrogen-doped carbon,,,120,1440,ethylene glycol,10,25,0,0,0,73,225,0.308219178,0.702,0.81,,,30,0.5,0.25,20,nafion 212,50,130,2.5,9.8,95,1,70,500,1000,,,0,0,0,,1,522.5,0.908,0.83,0.78,0.74,0.705,0.675,0.64,0.605,0.58,0.545,0.505,0.475,0.425,0.4,0.36,0.33,0.29,0.25,0.2,0.175,0.145,0.11656,0.09092,0.0677,,0.02725,0.01,0.01,0.01,0.01,0.01
Nitrogen doped mesoporous carbon supported Pt electrocatalyst for oxygen reduction reaction in proton exchange membrane fuel cells,G. Ranga Rao,India,Indian Institute of Technology Madras,2018,Pt/NMC-1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,11.6,0,0,0,0,0,0,0,0,70,1.9,,home-made nitrogen-doped carbon,,,120,1440,ethylene glycol,10,25,0,0,0,73,225,0.308219178,0.702,0.81,,,30,0.5,0.25,20,nafion 212,50,130,2.5,9.8,95,1,70,500,1000,,,0,0,0,,1,315,0.908,0.8,0.735,0.685,0.635,0.575,0.525,0.45,0.33,0.145,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Nitrogen doped mesoporous carbon supported Pt electrocatalyst for oxygen reduction reaction in proton exchange membrane fuel cells,G. Ranga Rao,India,Indian Institute of Technology Madras,2018,Pt/NMC-2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,6.5,0,0,0,0,0,0,0,0,73,5.25,,home-made nitrogen-doped carbon,,,120,1440,ethylene glycol,10,25,0,0,0,59,225,0.381355932,0.658,0.8,,,30,0.5,0.25,20,nafion 212,50,130,2.5,9.8,95,1,70,500,1000,,,0,0,0,,1,280,0.902,0.76,0.695,0.62,0.56,0.5,0.45,0.4,0.34,0.3,0.25,0.2,0.16,0.12238,0.08898,0.05914,0.0323,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Nitrogen doped mesoporous carbon supported Pt electrocatalyst for oxygen reduction reaction in proton exchange membrane fuel cells,G. Ranga Rao,India,Indian Institute of Technology Madras,2018,Pt/NMC-2,100,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,6.5,0,0,0,0,0,0,0,0,73,5.25,,home-made nitrogen-doped carbon,,,120,1440,ethylene glycol,10,25,0,0,0,59,225,0.381355932,0.658,0.8,,,30,0.5,0.25,20,nafion 212,50,130,2.5,9.8,95,1,70,500,1000,,,0,0,0,,1,170,0.902,0.7,0.6,0.5,0.42,0.34,0.25,0.15,0.05909,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,,0.01,0.01,0.01,0.01,0.01,0.01
Oxide?Carbon Nanofibrous Composite Support for a Highly Active and Stable Polymer Electrolyte Membrane Fuel-Cell Catalyst,Yong-Gun Shul,korea,Yonsei University,2018,CNF/TiO2?Pt,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.68,0,0,0,20.3,14.7,0,0,0,0,26.15,3.8,,carbon nanofiber/oxide hybrid,,107.8,25,180,ethylene glycol,11,400,6,1,0,115.3,217,0.188204683,0.86,0.99,,,1,0.4,0.4,40,nafion 212,50,,,,100,0,75,150,225,1,1.5,150,225,0,,1,1000,0.985,0.92,0.89,0.86,0.84,0.815,0.8,0.775,0.75,0.725,0.705,0.69,0.665,0.65,0.625,0.61,0.6,0.57,0.55,0.52,0.5,0.475,0.445,0.415,0.395,0.36,0.325,0.29195,0.26241,0.23583,0.21179
Oxide?Carbon Nanofibrous Composite Support for a Highly Active and Stable Polymer Electrolyte Membrane Fuel-Cell Catalyst,Yong-Gun Shul,korea,Yonsei University,2018,CNF/TiO2?Pt,100,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.68,0,0,0,20.3,14.8,0,0,0,0,26.15,3.8,,carbon nanofiber/oxide hybrid,,107.8,25,180,ethylene glycol,11,400,6,1,0,115.3,217,0.188204683,0.86,0.99,,,1,0.4,0.4,40,nafion 212,50,,,,50,0,75,150,225,1,1.5,150,225,0,,1,855,0.95,0.82,0.785,0.76,0.73,0.71,0.7,0.68,0.66,0.645,0.625,0.61,0.6,0.575,0.55,0.53,0.51,0.49,0.465,0.45,0.425,0.4,0.38,0.355,0.33,0.3,0.27156,0.24592,0.2227,0.20157,0.18225
